Key to columns:
(1) Cluster identification number
(2,3) Right ascension (hms) and declination (hms) (J2000)
(4,5) Right ascension (deg) and declination (deg) (J2000)
(6,7) Galactic longitude (Gl) and latitude (Gb) in degrees
(8,9) Gamma & gamma (Vivek please fill what they mean and units)
(10) Core radius in arcminutes from Harris Catalog
(11) Core radius in arcminutes from Baumgardt Catalog
(12) Half-light radius in arcminutes from Harris Catalog
(13) Half-light radius in arcminutes from Baumgardt Catalog
(14) Half-mass radius in arcminutes from Baumgardt Catalog
(15) Core radius in parsec from Baumgardt Catalog
(16) Half-light radius in parsec from Baumgardt Catalog
(17) Half-mass radius in parsec from Baumgardt Catalog
(18) Half-mass radius in parsec from Baumgardt Catalog
(19) Distance to GC from Sun (kiloparsecs) Harris Catalog
(20) Distance to GC from Sun (kiloparsecs) Baumgardt Catalog
(21) Rise time UTC for 20 deg elevation at MeerKAT
(22) Set time UTC for 20 deg elevation at MeerKAT
(23) Rise time UTC for 50 deg elevation at MeerKAT
(24) Set time UTC for 50 deg elevation at MeerKAT
(25) Rise time LST for 20 deg elevation at MeerKAT
(26) Set time LST for 20 deg elevation at MeerKAT
(27) Rise time LST for 50 deg elevation at MeerKAT
(28) Set time LST for 50 deg elevation at MeerKAT
(29) Mosaic UTC to generate beam tiling # Rise time UTC at 20 deg + 20 mins
(30) Is Cluster Core-Collapsed? 1 - Yes, 0 - No

# Remember source is between 20-50 deg elevation between Rise_time_sidereal_20_deg and Rise_time_sidereal_50_deg
# or Set_time_sidereal_50_deg and Set_time_sidereal_20_deg. Also take into account Tobs when scheduling.

GC,RA_hms,DEC_dms,RA_deg,DEC_deg,Gl,Gb,Gamma,gamma,Core_radius_harris_arcmin,Core_radius_Baumgardt_arcmin,Half_light_radius_harris_arcmin,Half_light_radius_Baumgardt_arcmin,Half_mass_radius_Baumgardt_arcmin,CORE_RADIUS_Baumgardt,HALF_LIGHT_RADIUS_Baumgardt,HALF_MASS_RADIUS_Baumgardt,R_Sun_harris,R_Sun_Baumgardt,Rise_time_utc_20_deg,Set_time_utc_20_deg,Rise_time_utc_50_deg,Set_time_utc_50_deg,Rise_time_sidereal_20_deg,Set_time_sidereal_20_deg,Rise_time_sidereal_50_deg,Set_time_sidereal_50_deg,Mosaic_utc,CORE_COLLAPSED
NGC_6752,19:10:52.11,-59:59:04.40,287.71712504999994,-59.98455556,336.4929132918291,-25.628352469436763,8.938332404,18.80926171,0.17,0.25032160164768047,1.91,2.386399269041221,3.9634253594216076,0.3,2.86,4.75,4.0,4.12,2023-05-15 19:17:05.389,2023-05-16 09:11:34.817,2023-05-15 23:32:05.280,2023-05-16 04:48:16.214,12:15:53.66764752,2:12:40.17729144,16:31:35.44711534,21:48:38.32033112,2023-05-15 19:37:05.389,1
NGC_6397,17:40:42.09,-53:40:27.60,265.17537494999993,-53.67433333,338.1650139317098,-11.959522633662244,3.073508065,254.7902597,0.05,0.19406653187932177,2.90,3.008031244129487,4.380358862418977,0.14,2.17,3.16,2.3,2.48,2023-05-15 18:08:56.875,2023-05-16 07:16:24.364,2023-05-15 21:44:42.146,2023-05-16 03:42:11.946,11:07:33.96000403,0:17:10.8046085,14:43:54.67292032,20:42:23.19882905,2023-05-15 18:28:56.875,1
NGC_6388,17:36:17.23,-44:44:07.80,264.07179164999997,-44.7355,345.55646966040655,-6.737731842228989,85.28478471,15.74215634,0.12,0.147727842371083,0.52,0.8032701428927639,1.6527052365264912,0.48,2.61,5.37,9.9,11.17,2023-05-15 18:31:46.040,2023-05-16 06:47:35.227,2023-05-15 21:26:35.285,2023-05-16 03:50:09.528,11:30:26.8735406,23:48:16.93351757,14:25:44.83628195,20:50:22.08836846,2023-05-15 18:51:46.040,0
NGC_1851,05:14:06.76,-40:02:47.60,78.52816666499999,-40.04655556,244.51323041284684,-35.03597848631085,27.24547826,12.44092816,0.09,0.040274895381177366,0.51,0.503436192264717,0.9090619243180034,0.14,1.75,3.16,12.1,11.95,2023-05-16 06:16:10.541,2023-05-15 18:12:59.345,2023-05-16 09:00:38.011,2023-05-15 15:29:19.894,23:16:47.08755991,11:11:37.09384488,2:01:41.57306426,8:27:30.75889299,2023-05-16 06:36:10.541,0
NGC_6256,16:59:32.62,-37:07:17.00,254.8859166,-37.12138889,347.79160015655435,3.3065226725081973,5.482430276,116.9535588,0.02,0.03323791434242107,0.86,1.3959924023816848,1.9990231340227524,0.07,2.94,4.21,10.3,7.24,2023-05-15 18:11:29.311,2023-05-16 05:51:46.606,2023-05-15 20:48:58.382,2023-05-16 03:14:09.557,11:10:06.81334739,22:52:19.14454919,13:48:01.75427035,20:14:16.20373048,2023-05-15 18:31:29.311,1
NGC_6441,17:50:13.06,-37:03:05.20,267.55441665,-37.05144444,353.53223500339476,-5.005799495472829,93.98128077,10.92645598,0.13,0.17283267864599292,0.57,0.5779092692225388,1.1612195596527648,0.64,2.14,4.3,11.6,12.73,2023-05-15 19:03:16.882,2023-05-16 06:42:46.923,2023-05-15 21:40:27.063,2023-05-16 04:04:30.870,12:02:02.89233868,23:43:27.84018899,14:39:38.89154695,21:04:45.78857848,2023-05-15 19:23:16.882,0
NGC_6453,17:50:51.70,-34:35:57.00,267.71541659999997,-34.59916667,355.71740805038985,-3.8724480076089685,4.765348461,19.88166118,0.05,0.04438008935304869,0.44,0.9422234354954954,1.321161121509988,0.13,2.76,3.87,11.6,10.07,2023-05-15 19:09:05.872,2023-05-16 06:37:50.297,2023-05-15 21:42:10.642,2023-05-16 04:03:55.188,12:07:52.83781292,23:38:30.40207618,14:41:22.75412844,21:04:10.00888714,2023-05-15 19:29:05.872,1
Liller_1,17:33:24.50,-33:23:20.40,263.35208339999997,-33.389,354.8406471065185,-0.16016372659418643,10.71936062,34.27011478,0.06,0.07677357315489029,X,0.5544758061186521,1.032178039082414,0.18,1.3,2.42,8.2,8.06,2023-05-15 18:54:56.716,2023-05-16 06:17:42.366,2023-05-15 21:25:45.076,2023-05-16 03:45:44.081,11:53:41.35697072,23:18:19.16396152,14:24:54.48981835,20:45:55.91461909,2023-05-15 19:14:56.716,0
NGC_6681,18:43:12.76,-32:17:31.60,280.80316665,-32.29211111,2.852929474820853,-12.509868864729265,20.84328681,116.2831794,0.03,0.02570966879012449,0.71,0.7933269226666986,1.1165341874568349,0.07,2.16,3.04,9.0,9.36,2023-05-15 20:04:58.532,2023-05-16 07:23:37.219,2023-05-15 22:35:26.474,2023-05-16 04:53:45.449,13:03:54.67681654,0:24:24.84469395,15:34:47.33576722,21:54:08.45672155,2023-05-15 20:24:58.532,1
NGC_6558,18:10:17.60,-31:45:50.00,272.57333339999997,-31.76388889,0.19930121090995792,-6.0226293500721235,2.779358863,82.3242319,0.03,0.06619544283435354,2.15,0.6796065464326962,0.8649537863688863,0.15,1.54,1.96,7.4,7.79,2023-05-15 19:33:50.920,2023-05-16 06:50:36.289,2023-05-15 22:03:23.042,2023-05-16 04:20:52.816,12:32:41.95161754,23:51:18.49123533,15:02:38.63774082,21:21:10.4229822,2023-05-15 19:53:50.920,1
Ter_6,17:50:46.38,-31:16:31.40,267.69325004999996,-31.27538889,358.57130448358805,-2.161805773545754,34.21342171,93.41180086,0.05,0.18441850056498135,0.44,0.4965113476749498,0.9031777848182421,0.39,1.05,1.91,6.8,7.27,2023-05-15 19:16:00.014,2023-05-16 06:30:17.426,2023-05-15 21:44:36.981,2023-05-16 04:01:05.513,12:14:48.11366208,23:30:56.29119048,14:43:49.49377944,21:01:19.86934542,2023-05-15 19:36:00.014,1
Ter_2,17:27:33.10,-30:48:08.40,261.8879166,-30.80233333,356.3193854285133,2.2981364691386212,0.5255375022,46.20597552,0.03,0.20404709664676282,1.52,1.064593547722241,1.911832579451191,0.46,2.4,4.31,7.5,7.75,2023-05-15 18:54:40.101,2023-05-16 06:05:53.043,2023-05-15 21:22:14.371,2023-05-16 03:37:28.885,11:53:24.69648173,23:06:27.89895297,14:21:23.20794434,20:37:39.36285553,2023-05-15 19:14:40.101,1
NGC_6624,18:23:40.51,-30:21:39.70,275.91879164999995,-30.36102778,2.788324883541591,-7.9134607676781386,10.66093658,36.40007849,0.06,0.08144295506306934,0.82,0.7287001242485152,0.9644560467995053,0.19,1.7,2.25,7.9,8.02,2023-05-15 19:49:55.730,2023-05-16 07:00:35.726,2023-05-15 22:17:58.715,2023-05-16 04:32:39.166,12:48:49.40310059,0:01:19.56939458,15:17:16.70818301,21:32:58.70685032,2023-05-15 20:09:55.730,1
NGC_6522,18:03:34.02,-30:02:02.30,270.89174999999994,-30.03397222,1.0245063013766602,-3.92536773634558,13.09664741,55.13405464,0.05,0.18391255131822543,1.00,1.1694951981261512,1.4854475298779743,0.39,2.48,3.15,7.7,7.29,2023-05-15 19:31:00.050,2023-05-16 06:40:11.723,2023-05-15 21:58:29.265,2023-05-16 04:12:26.163,12:29:50.61380502,23:40:52.21527712,14:57:44.0564299,21:12:42.3828511,2023-05-15 19:51:00.050,1
HP_1,17:31:05.20,-29:58:54.00,262.77166665,-29.98166667,357.42522068939314,2.1150303153761927,0.1007184168,22.9586081,0.03,0.4861960710924016,3.10,1.5224321418044897,2.057738927148649,0.99,3.1,4.19,8.2,7.0,2023-05-15 18:59:44.771,2023-05-16 06:07:37.087,2023-05-15 21:26:33.794,2023-05-16 03:40:06.390,11:58:30.20061546,23:08:12.22780815,14:25:43.34119985,20:40:17.29907779,2023-05-15 19:19:44.771,1
NGC_6540,18:06:08.60,-27:45:55.00,271.53583334999996,-27.76527778,3.285096063658534,-3.312997904455197,8.01738843,204.4012454,0.03,0.052351522799766265,X,1.5414615046597846,2.6117593041216725,0.09,2.65,4.49,5.3,5.91,2023-05-15 19:38:20.400,2023-05-16 06:37:44.688,2023-05-15 22:03:50.242,2023-05-16 04:12:07.163,12:37:12.1694072,23:38:24.77771967,15:03:05.91220974,21:12:23.33083228,2023-05-15 19:58:20.400,0
Ter_9,18:01:38.80,-26:50:23.00,270.4116666,-26.83972222,3.603138432746584,-1.9887844412295845,0.1030381098,29.41040861,0.03,0.16682322343025577,0.78,0.9949813683161681,1.5371568444644992,0.28,1.67,2.58,7.1,5.77,2023-05-15 19:35:55.287,2023-05-16 06:31:15.204,2023-05-15 22:00:43.407,2023-05-16 04:06:20.662,12:34:46.65911289,23:31:54.22737706,14:59:58.56568763,21:06:35.88117058,2023-05-15 19:55:55.287,1
NGC_6293,17:10:10.20,-26:34:55.50,257.54249999999996,-26.58208333,357.62015776363273,7.834303463404468,11.08219775,36.74405244,0.05,0.02244450488480616,0.89,0.8267059299236935,1.1895587588947265,0.06,2.21,3.18,9.5,9.19,2023-05-15 18:46:33.826,2023-05-16 05:38:21.479,2023-05-15 21:09:39.438,2023-05-16 03:14:43.017,11:45:17.09014495,22:38:51.81324546,14:08:46.2080678,20:14:49.75533834,2023-05-15 19:06:33.826,1
NGC_6355,17:23:58.59,-26:21:12.30,260.99412494999996,-26.35341667,359.58492571221075,5.4279408866386065,4.090292254,27.80499557,0.05,0.07948554908847283,0.88,0.9379294792439794,1.327408669777496,0.2,2.36,3.34,9.2,8.65,2023-05-15 19:00:21.748,2023-05-16 05:52:09.847,2023-05-15 21:24:03.486,2023-05-16 03:28:12.580,11:59:07.27885209,22:52:42.44917918,14:23:12.62168242,20:28:21.53478583,2023-05-15 19:20:21.748,1
