Key to columns:
(1) Cluster identification number
(2,3) Right ascension (hour angle) and declination (degrees) (J2000)
(4,5) Gamma & gamma (Vivek please fill this in)
(6) Core radius in arcminutes from Harris Catalog
(7) Half-light radius in arcminutes from Harris Catalog
(8) Distance from Sun (kiloparsecs) Harris Catalog
(9) Is Cluster Core-Collapsed? 1 - Yes, 0 - No
(10) Core Radius (pc) using the Spitzer (1987) definition Baumgardt Catalog
(11) Projected half-light radius (pc) Baumgardt Catalog
(12) Half-mass radius 3D (pc) Baumgardt Catalog
(13) Distance from Sun (kiloparsecs) Baumgardt Catalog

GC  RA(HA)   DEC(DEG)	Gamma	gamma Core_radius_harris_arcmin Half_light_radius_harris_arcmin R_Sun_harris CORE_COLLAPSED CORE_RADIUS_Baumgardt HALF_LIGHT_RADIUS_Baumgardt HALF_MASS_RADIUS_Baumgardt R_Sun_Baumgardt
NGC_6752    19.18114167	-59.98455556	8.938332404 18.80926171 0.17    1.91    4.0     1   0.30    2.86    4.75    4.12
NGC_6397	17.67835833	-53.67433333	3.073508065	254.7902597 0.05    2.90    2.3     1   0.14    2.17    3.16    2.48     
NGC_6388	17.60478611	-44.7355	85.28478471	15.74215634     0.12    0.52    9.9     0   0.48    2.61    5.37    11.17    
NGC_1851	5.235211111	-40.04655556	27.24547826	12.44092816 0.09    0.51    12.1    0   0.14    1.75    3.16    11.95
NGC_6256	16.99239444	-37.12138889	5.482430276	116.9535588 0.02    0.86    10.3    1   0.07    2.94    4.21    7.24
NGC_6441	17.83696111	-37.05144444	93.98128077	10.92645598 0.13    0.57    11.6    0   0.64    2.14    4.30    12.73
NGC_6453	17.84769444	-34.59916667	4.765348461	19.88166118 0.05    0.44    11.6    1   0.13    2.76    3.87    10.07
Liller_1	17.55680556	-33.389	10.71936062	34.27011478         0.06    X       8.2     0   0.18    1.30    2.42    8.06
NGC_6681	18.72021111	-32.29211111	20.84328681	116.2831794 0.03    0.71    9.0     1   0.07    2.16    3.04    9.36
NGC_6558	18.17155556	-31.76388889	2.779358863	82.3242319  0.03    2.15    7.4     1   0.15    1.54    1.96    7.79
Ter_6	17.84621667	-31.27538889	34.21342171	93.41180086     0.05    0.44    6.8     1   0.39    1.05    1.91    7.27     
Ter_2	17.45919444	-30.80233333	0.5255375022	46.20597552 0.03    1.52    7.5     1   0.46    2.40    4.31    7.75
NGC_6624	18.39458611	-30.36102778	10.66093658	36.40007849 0.06    0.82    7.9     1   0.19    1.70    2.25    8.02
NGC_6522	18.05945	-30.03397222	13.09664741	55.13405464 0.05    1.00    7.7     1   0.39    2.48    3.15    7.29
HP_1	17.51811111	-29.98166667	0.1007184168	22.9586081  0.03    3.10    8.2     1   0.99    3.10    4.19    7.00
NGC_6540	18.10238889	-27.76527778	8.01738843	204.4012454 0.03    X       5.3     0   0.09    2.65    4.49    5.91
Ter_9	18.02744444	-26.83972222	0.1030381098	29.41040861 0.03    0.78    7.1     1   0.28    1.67    2.58    5.77
NGC_6293	17.1695	-26.58208333	11.08219775	36.74405244     0.05    0.89    9.5     1   0.06    2.21    3.18    9.19     
NGC_6355	17.39960833	-26.35341667	4.090292254	27.80499557 0.05    0.88    9.2     1   0.20    2.36    3.34    8.65
NGC_6544	18.12238333	-24.99733333	14.73741097	275.9239527 0.05    1.21    3.0     1   0.20    1.54    2.24    2.58 
Ter_5	17.80133333	-24.77916667	33.27950231	12.99904923     0.16    0.72    6.9     0   0.67    1.77    4.03    6.62
NGC_6325	17.29978056	-23.766	5.554825125	94.98713844         0.03    0.63    7.8     1   0.11    1.72    2.38    7.53         
NGC_7099    21.67281111	-23.17986111	4.116339769	25.42403001 0.06    1.03    8.1     1   0.09    2.54    4.27    8.46
NGC_6717	18.91834444	-22.70147222	1.273313512	13.25965811 0.08    0.68    7.1     0   0.29    2.63    3.26    7.52
NGC_6440	17.81463889	-20.36025	54.61759829	13.5311186      0.14    0.48    8.5     0   0.37    1.32    2.80    8.25     
NGC_6342	17.3528	-19.58741667	2.741678564	27.76461986     0.05    0.73    8.5     1   0.17    1.48    1.86    8.01
NGC_6517	18.0307	-8.958777778	18.54184335	26.81782461     0.06    0.50    10.6    0   0.14    1.70    2.88    9.23
