CLUSTER: M30
BAND: LBAND
Central_freq: 1284000000.0
Boresight: 21:40:22.12  -23:10:47.5
Beam_x_deg: 0.0017499225512791776
Beam_y_deg: 0.0012056377467336708
Beam_angle: -96.86720017302153
Overlap: 0.7
DATE: 2020-12-29 13:45:03
PROJECT: TRAPUM

Beam	RA	DEC
cfbf0001	21:40:22.12	-23:10:47.50
cfbf0002	21:40:22.23	-23:11:00.01
cfbf0003	21:40:22.01	-23:10:34.99
cfbf0004	21:40:22.34	-23:11:12.52
cfbf0005	21:40:21.90	-23:10:22.48
cfbf0006	21:40:22.45	-23:11:25.03
cfbf0007	21:40:21.79	-23:10:09.97
cfbf0008	21:40:22.56	-23:11:37.54
cfbf0009	21:40:21.68	-23:09:57.46
cfbf0010	21:40:22.67	-23:11:50.05
cfbf0011	21:40:21.57	-23:09:44.95
cfbf0012	21:40:22.78	-23:12:02.55
cfbf0013	21:40:21.46	-23:09:32.45
cfbf0014	21:40:22.88	-23:12:15.06
cfbf0015	21:40:21.36	-23:09:19.94
cfbf0016	21:40:21.63	-23:10:54.65
cfbf0017	21:40:21.52	-23:10:42.14
cfbf0018	21:40:21.74	-23:11:07.16
cfbf0019	21:40:21.41	-23:10:29.64
cfbf0020	21:40:21.85	-23:11:19.67
cfbf0021	21:40:21.31	-23:10:17.13
cfbf0022	21:40:21.96	-23:11:32.18
cfbf0023	21:40:21.20	-23:10:04.62
cfbf0024	21:40:22.07	-23:11:44.69
cfbf0025	21:40:21.09	-23:09:52.11
cfbf0026	21:40:22.18	-23:11:57.20
cfbf0027	21:40:20.98	-23:09:39.60
cfbf0028	21:40:22.29	-23:12:09.71
cfbf0029	21:40:20.87	-23:09:27.09
cfbf0030	21:40:22.40	-23:12:22.22
cfbf0031	21:40:22.72	-23:10:52.86
cfbf0032	21:40:22.61	-23:10:40.35
cfbf0033	21:40:22.83	-23:11:05.36
cfbf0034	21:40:22.50	-23:10:27.84
cfbf0035	21:40:22.93	-23:11:17.87
cfbf0036	21:40:22.39	-23:10:15.33
cfbf0037	21:40:23.04	-23:11:30.38
cfbf0038	21:40:22.28	-23:10:02.82
cfbf0039	21:40:23.15	-23:11:42.89
cfbf0040	21:40:22.17	-23:09:50.31
cfbf0041	21:40:23.26	-23:11:55.40
cfbf0042	21:40:22.06	-23:09:37.80
cfbf0043	21:40:23.37	-23:12:07.91
cfbf0044	21:40:21.95	-23:09:25.29
cfbf0045	21:40:21.84	-23:09:12.78
cfbf0046	21:40:21.04	-23:10:49.30
cfbf0047	21:40:21.15	-23:11:01.81
cfbf0048	21:40:20.93	-23:10:36.79
cfbf0049	21:40:21.26	-23:11:14.32
cfbf0050	21:40:20.82	-23:10:24.28
cfbf0051	21:40:21.37	-23:11:26.82
cfbf0052	21:40:20.71	-23:10:11.77
cfbf0053	21:40:21.47	-23:11:39.33
cfbf0054	21:40:20.60	-23:09:59.26
cfbf0055	21:40:21.58	-23:11:51.84
cfbf0056	21:40:20.49	-23:09:46.75
cfbf0057	21:40:21.69	-23:12:04.35
cfbf0058	21:40:20.38	-23:09:34.24
cfbf0059	21:40:21.80	-23:12:16.86
cfbf0060	21:40:20.27	-23:09:21.73
cfbf0061	21:40:23.20	-23:10:45.70
cfbf0062	21:40:23.31	-23:10:58.21
cfbf0063	21:40:23.09	-23:10:33.19
cfbf0064	21:40:23.42	-23:11:10.72
cfbf0065	21:40:22.98	-23:10:20.68
cfbf0066	21:40:23.53	-23:11:23.23
cfbf0067	21:40:22.87	-23:10:08.17
cfbf0068	21:40:23.64	-23:11:35.74
cfbf0069	21:40:22.77	-23:09:55.67
cfbf0070	21:40:23.75	-23:11:48.25
cfbf0071	21:40:22.66	-23:09:43.16
cfbf0072	21:40:23.86	-23:12:00.76
cfbf0073	21:40:22.55	-23:09:30.65
cfbf0074	21:40:23.97	-23:12:13.26
cfbf0075	21:40:22.44	-23:09:18.14
cfbf0076	21:40:20.55	-23:10:56.45
cfbf0077	21:40:20.44	-23:10:43.94
cfbf0078	21:40:20.66	-23:11:08.96
cfbf0079	21:40:20.33	-23:10:31.43
cfbf0080	21:40:20.77	-23:11:21.47
cfbf0081	21:40:20.22	-23:10:18.92
cfbf0082	21:40:20.88	-23:11:33.98
cfbf0083	21:40:20.11	-23:10:06.41
cfbf0084	21:40:20.99	-23:11:46.49
cfbf0085	21:40:20.00	-23:09:53.90
cfbf0086	21:40:21.10	-23:11:59.00
cfbf0087	21:40:19.90	-23:09:41.40
cfbf0088	21:40:21.21	-23:12:11.51
cfbf0089	21:40:19.79	-23:09:28.89
cfbf0090	21:40:23.80	-23:10:51.06
cfbf0091	21:40:23.69	-23:10:38.55
cfbf0092	21:40:23.91	-23:11:03.57
cfbf0093	21:40:23.58	-23:10:26.04
cfbf0094	21:40:24.02	-23:11:16.08
cfbf0095	21:40:23.47	-23:10:13.53
cfbf0096	21:40:24.13	-23:11:28.58
cfbf0097	21:40:23.36	-23:10:01.02
cfbf0098	21:40:24.24	-23:11:41.09
cfbf0099	21:40:23.25	-23:09:48.51
cfbf0100	21:40:24.35	-23:11:53.60
cfbf0101	21:40:23.14	-23:09:36.00
cfbf0102	21:40:24.45	-23:12:06.11
cfbf0103	21:40:23.03	-23:09:23.49
cfbf0104	21:40:19.95	-23:10:51.09
cfbf0105	21:40:20.06	-23:11:03.60
cfbf0106	21:40:19.85	-23:10:38.59
cfbf0107	21:40:20.17	-23:11:16.11
cfbf0108	21:40:19.74	-23:10:26.08
