cluster,band,central_frequency,boresight_position,beam_x_deg,beam_y_deg,beam_angle,date,nantennas_requested,overlap,region,beams_required
NGC_6752,UHF,816000000.0,19:10:52.11 -59:59:04.40,0.03209812017593856,0.01144431464273717,-18.01411324704744,2023-05-15 19:37:05.389000,40,0.5,core,1
NGC_6752,UHF,816000000.0,19:10:52.11 -59:59:04.40,0.03209812017593856,0.01144431464273717,-18.01411324704744,2023-05-15 19:37:05.389000,40,0.5,half_light,7
NGC_6752,UHF,816000000.0,19:10:52.11 -59:59:04.40,0.03209812017593856,0.01144431464273717,-18.01411324704744,2023-05-15 19:37:05.389000,40,0.5,twice_half_light_radius,23
NGC_6752,UHF,816000000.0,19:10:52.11 -59:59:04.40,0.02167896996801895,0.006401360096386651,-22.98969773104764,2023-05-15 19:37:05.389000,52,0.5,core,1
NGC_6752,UHF,816000000.0,19:10:52.11 -59:59:04.40,0.02167896996801895,0.006401360096386651,-22.98969773104764,2023-05-15 19:37:05.389000,52,0.5,half_light,11
NGC_6752,UHF,816000000.0,19:10:52.11 -59:59:04.40,0.02167896996801895,0.006401360096386651,-22.98969773104764,2023-05-15 19:37:05.389000,52,0.5,twice_half_light_radius,47
NGC_6752,UHF,816000000.0,19:10:52.11 -59:59:04.40,0.018770784293218757,0.004918471413648589,-21.408864703478397,2023-05-15 19:37:05.389000,56,0.5,core,1
NGC_6752,UHF,816000000.0,19:10:52.11 -59:59:04.40,0.018770784293218757,0.004918471413648589,-21.408864703478397,2023-05-15 19:37:05.389000,56,0.5,half_light,23
NGC_6752,UHF,816000000.0,19:10:52.11 -59:59:04.40,0.018770784293218757,0.004918471413648589,-21.408864703478397,2023-05-15 19:37:05.389000,56,0.5,twice_half_light_radius,71
NGC_6752,UHF,816000000.0,19:10:52.11 -59:59:04.40,0.015206180190532936,0.004199895774070136,-21.62199120865066,2023-05-15 19:37:05.389000,60,0.5,core,1
NGC_6752,UHF,816000000.0,19:10:52.11 -59:59:04.40,0.015206180190532936,0.004199895774070136,-21.62199120865066,2023-05-15 19:37:05.389000,60,0.5,half_light,23
NGC_6752,UHF,816000000.0,19:10:52.11 -59:59:04.40,0.015206180190532936,0.004199895774070136,-21.62199120865066,2023-05-15 19:37:05.389000,60,0.5,twice_half_light_radius,97
NGC_6752,UHF,816000000.0,19:10:52.11 -59:59:04.40,0.010696591713270389,0.0029775989729537407,-21.337269943698907,2023-05-15 19:37:05.389000,64,0.5,core,1
NGC_6752,UHF,816000000.0,19:10:52.11 -59:59:04.40,0.010696591713270389,0.0029775989729537407,-21.337269943698907,2023-05-15 19:37:05.389000,64,0.5,half_light,47
NGC_6752,UHF,816000000.0,19:10:52.11 -59:59:04.40,0.010696591713270389,0.0029775989729537407,-21.337269943698907,2023-05-15 19:37:05.389000,64,0.5,twice_half_light_radius,195
NGC_6752,UHF,816000000.0,19:10:52.11 -59:59:04.40,0.02757261986226625,0.009801690369467968,-18.04802870967797,2023-05-15 19:37:05.389000,40,0.6,core,1
NGC_6752,UHF,816000000.0,19:10:52.11 -59:59:04.40,0.02757261986226625,0.009801690369467968,-18.04802870967797,2023-05-15 19:37:05.389000,40,0.6,half_light,7
NGC_6752,UHF,816000000.0,19:10:52.11 -59:59:04.40,0.02757261986226625,0.009801690369467968,-18.04802870967797,2023-05-15 19:37:05.389000,40,0.6,twice_half_light_radius,23
NGC_6752,UHF,816000000.0,19:10:52.11 -59:59:04.40,0.018303256173740876,0.005305400696671301,-23.262439151026467,2023-05-15 19:37:05.389000,52,0.6,core,1
NGC_6752,UHF,816000000.0,19:10:52.11 -59:59:04.40,0.018303256173740876,0.005305400696671301,-23.262439151026467,2023-05-15 19:37:05.389000,52,0.6,half_light,23
NGC_6752,UHF,816000000.0,19:10:52.11 -59:59:04.40,0.018303256173740876,0.005305400696671301,-23.262439151026467,2023-05-15 19:37:05.389000,52,0.6,twice_half_light_radius,47
NGC_6752,UHF,816000000.0,19:10:52.11 -59:59:04.40,0.013383858201753215,0.004129509082656802,-21.56406808281713,2023-05-15 19:37:05.389000,56,0.6,core,1
NGC_6752,UHF,816000000.0,19:10:52.11 -59:59:04.40,0.013383858201753215,0.004129509082656802,-21.56406808281713,2023-05-15 19:37:05.389000,56,0.6,half_light,23
NGC_6752,UHF,816000000.0,19:10:52.11 -59:59:04.40,0.013383858201753215,0.004129509082656802,-21.56406808281713,2023-05-15 19:37:05.389000,56,0.6,twice_half_light_radius,97
