CLUSTER: M30
BAND: LBAND
Central_freq: 1284000000.0
Boresight: 21:40:22.12  -23:10:47.5
Beam_x_deg: 0.001243853353496198
Beam_y_deg: 0.0006649084890006459
Beam_angle: -10.812910169516986
Overlap: 0.9
DATE: 2023-05-15 23:43:00
PROJECT: COMPACT

Beam	RA	DEC
cfbf0001	21:40:22.12	-23:10:47.50
cfbf0002	21:40:21.48	-23:10:49.18
cfbf0003	21:40:22.76	-23:10:45.82
cfbf0004	21:40:20.84	-23:10:50.86
cfbf0005	21:40:23.40	-23:10:44.14
cfbf0006	21:40:20.21	-23:10:52.54
cfbf0007	21:40:24.03	-23:10:42.46
cfbf0008	21:40:19.57	-23:10:54.22
cfbf0009	21:40:24.67	-23:10:40.78
cfbf0010	21:40:18.93	-23:10:55.90
cfbf0011	21:40:25.31	-23:10:39.10
cfbf0012	21:40:18.29	-23:10:57.58
cfbf0013	21:40:25.95	-23:10:37.42
cfbf0014	21:40:17.65	-23:10:59.26
cfbf0015	21:40:26.59	-23:10:35.74
cfbf0016	21:40:21.74	-23:10:44.27
cfbf0017	21:40:22.38	-23:10:42.59
cfbf0018	21:40:21.11	-23:10:45.95
cfbf0019	21:40:23.02	-23:10:40.91
cfbf0020	21:40:20.47	-23:10:47.63
cfbf0021	21:40:23.66	-23:10:39.23
cfbf0022	21:40:19.83	-23:10:49.31
cfbf0023	21:40:24.30	-23:10:37.55
cfbf0024	21:40:19.19	-23:10:50.99
cfbf0025	21:40:24.93	-23:10:35.87
cfbf0026	21:40:18.55	-23:10:52.67
cfbf0027	21:40:25.57	-23:10:34.18
cfbf0028	21:40:17.92	-23:10:54.34
cfbf0029	21:40:26.21	-23:10:32.50
cfbf0030	21:40:21.86	-23:10:52.41
cfbf0031	21:40:22.50	-23:10:50.73
cfbf0032	21:40:21.22	-23:10:54.09
cfbf0033	21:40:23.13	-23:10:49.05
cfbf0034	21:40:20.58	-23:10:55.77
cfbf0035	21:40:23.77	-23:10:47.37
cfbf0036	21:40:19.94	-23:10:57.45
cfbf0037	21:40:24.41	-23:10:45.69
cfbf0038	21:40:19.31	-23:10:59.13
cfbf0039	21:40:25.05	-23:10:44.01
cfbf0040	21:40:18.67	-23:11:00.81
cfbf0041	21:40:25.69	-23:10:42.33
cfbf0042	21:40:18.03	-23:11:02.49
cfbf0043	21:40:26.32	-23:10:40.65
cfbf0044	21:40:22.01	-23:10:39.36
cfbf0045	21:40:21.37	-23:10:41.04
cfbf0046	21:40:22.65	-23:10:37.68
cfbf0047	21:40:20.73	-23:10:42.72
cfbf0048	21:40:23.28	-23:10:35.99
cfbf0049	21:40:20.09	-23:10:44.39
cfbf0050	21:40:23.92	-23:10:34.31
cfbf0051	21:40:19.46	-23:10:46.07
cfbf0052	21:40:24.56	-23:10:32.63
cfbf0053	21:40:18.82	-23:10:47.75
cfbf0054	21:40:25.20	-23:10:30.95
cfbf0055	21:40:18.18	-23:10:49.43
cfbf0056	21:40:25.83	-23:10:29.27
cfbf0057	21:40:17.54	-23:10:51.11
cfbf0058	21:40:26.47	-23:10:27.59
cfbf0059	21:40:22.23	-23:10:55.64
cfbf0060	21:40:21.59	-23:10:57.32
cfbf0061	21:40:22.87	-23:10:53.96
cfbf0062	21:40:20.96	-23:10:59.00
cfbf0063	21:40:23.51	-23:10:52.28
cfbf0064	21:40:20.32	-23:11:00.68
cfbf0065	21:40:24.15	-23:10:50.60
cfbf0066	21:40:19.68	-23:11:02.36
cfbf0067	21:40:24.78	-23:10:48.92
cfbf0068	21:40:19.04	-23:11:04.04
cfbf0069	21:40:25.42	-23:10:47.24
cfbf0070	21:40:18.40	-23:11:05.72
cfbf0071	21:40:26.06	-23:10:45.56
cfbf0072	21:40:17.77	-23:11:07.40
cfbf0073	21:40:26.70	-23:10:43.88
cfbf0074	21:40:21.63	-23:10:36.12
cfbf0075	21:40:22.27	-23:10:34.44
cfbf0076	21:40:20.99	-23:10:37.80
cfbf0077	21:40:22.91	-23:10:32.76
cfbf0078	21:40:20.36	-23:10:39.48
cfbf0079	21:40:23.55	-23:10:31.08
cfbf0080	21:40:19.72	-23:10:41.16
cfbf0081	21:40:24.18	-23:10:29.40
cfbf0082	21:40:19.08	-23:10:42.84
cfbf0083	21:40:24.82	-23:10:27.72
cfbf0084	21:40:18.44	-23:10:44.52
cfbf0085	21:40:25.46	-23:10:26.04
cfbf0086	21:40:17.80	-23:10:46.20
cfbf0087	21:40:26.10	-23:10:24.36
cfbf0088	21:40:26.74	-23:10:22.68
cfbf0089	21:40:21.97	-23:11:00.56
cfbf0090	21:40:22.61	-23:10:58.88
cfbf0091	21:40:21.33	-23:11:02.24
cfbf0092	21:40:23.25	-23:10:57.20
cfbf0093	21:40:20.69	-23:11:03.92
cfbf0094	21:40:23.88	-23:10:55.52
cfbf0095	21:40:20.06	-23:11:05.60
cfbf0096	21:40:24.52	-23:10:53.84
cfbf0097	21:40:19.42	-23:11:07.28
cfbf0098	21:40:25.16	-23:10:52.15
cfbf0099	21:40:18.78	-23:11:08.96
cfbf0100	21:40:25.80	-23:10:50.47
cfbf0101	21:40:18.14	-23:11:10.63
cfbf0102	21:40:26.44	-23:10:48.79
cfbf0103	21:40:17.50	-23:11:12.31
cfbf0104	21:40:21.89	-23:10:31.21
cfbf0105	21:40:21.26	-23:10:32.89
cfbf0106	21:40:22.53	-23:10:29.53
cfbf0107	21:40:20.62	-23:10:34.57
cfbf0108	21:40:23.17	-23:10:27.85
cfbf0109	21:40:19.98	-23:10:36.25
cfbf0110	21:40:23.81	-23:10:26.17
cfbf0111	21:40:19.34	-23:10:37.93
cfbf0112	21:40:24.45	-23:10:24.49
cfbf0113	21:40:18.70	-23:10:39.61
cfbf0114	21:40:25.08	-23:10:22.81
cfbf0115	21:40:18.07	-23:10:41.29
cfbf0116	21:40:25.72	-23:10:21.13
cfbf0117	21:40:26.36	-23:10:19.45
cfbf0118	21:40:22.35	-23:11:03.79
cfbf0119	21:40:21.71	-23:11:05.47
cfbf0120	21:40:22.98	-23:11:02.11
cfbf0121	21:40:21.07	-23:11:07.15
cfbf0122	21:40:23.62	-23:11:00.43
cfbf0123	21:40:20.43	-23:11:08.83
cfbf0124	21:40:24.26	-23:10:58.75
cfbf0125	21:40:19.79	-23:11:10.51
cfbf0126	21:40:24.90	-23:10:57.07
cfbf0127	21:40:19.16	-23:11:12.19
cfbf0128	21:40:25.54	-23:10:55.39
cfbf0129	21:40:18.52	-23:11:13.87
cfbf0130	21:40:26.17	-23:10:53.71
cfbf0131	21:40:17.88	-23:11:15.55
cfbf0132	21:40:21.52	-23:10:27.98
cfbf0133	21:40:22.16	-23:10:26.30
cfbf0134	21:40:20.88	-23:10:29.66
cfbf0135	21:40:22.79	-23:10:24.62
cfbf0136	21:40:20.24	-23:10:31.34
cfbf0137	21:40:23.43	-23:10:22.94
cfbf0138	21:40:19.61	-23:10:33.02
cfbf0139	21:40:24.07	-23:10:21.26
cfbf0140	21:40:18.97	-23:10:34.70
cfbf0141	21:40:24.71	-23:10:19.58
cfbf0142	21:40:18.33	-23:10:36.38
cfbf0143	21:40:25.35	-23:10:17.90
cfbf0144	21:40:17.69	-23:10:38.06
cfbf0145	21:40:25.98	-23:10:16.21
cfbf0146	21:40:26.62	-23:10:14.53
cfbf0147	21:40:22.08	-23:11:08.70
cfbf0148	21:40:22.72	-23:11:07.02
cfbf0149	21:40:21.45	-23:11:10.38
cfbf0150	21:40:23.36	-23:11:05.34
cfbf0151	21:40:20.81	-23:11:12.06
cfbf0152	21:40:24.00	-23:11:03.66
cfbf0153	21:40:20.17	-23:11:13.74
cfbf0154	21:40:24.63	-23:11:01.98
cfbf0155	21:40:19.53	-23:11:15.42
cfbf0156	21:40:25.27	-23:11:00.30
cfbf0157	21:40:18.89	-23:11:17.10
cfbf0158	21:40:25.91	-23:10:58.62
cfbf0159	21:40:18.26	-23:11:18.78
cfbf0160	21:40:26.55	-23:10:56.94
cfbf0161	21:40:17.62	-23:11:20.46
cfbf0162	21:40:21.78	-23:10:23.07
cfbf0163	21:40:21.14	-23:10:24.75
cfbf0164	21:40:22.42	-23:10:21.39
cfbf0165	21:40:20.51	-23:10:26.43
cfbf0166	21:40:23.06	-23:10:19.71
cfbf0167	21:40:19.87	-23:10:28.11
cfbf0168	21:40:23.70	-23:10:18.03
cfbf0169	21:40:19.23	-23:10:29.78
cfbf0170	21:40:24.33	-23:10:16.34
cfbf0171	21:40:18.59	-23:10:31.46
